nhood,Coding,Population,Married,Divorced,Widowed,Persons_with_a_migration_background,Non_Western,Morocco,Netherlands_Antilles_and_Aruba,Suriname,Turkey,Othernon-Western,Householdincome,Crime,"Vandalism,crimeagainstpublicorder",Violentandsexualcrimes,PostalCode,cafe_Within_1_km,cafe_Within_3_km,cafe_Within_5_km,distance_to_Cafeterias_km,cafeterias_Within_1_km,cafeterias_Within_3_km,cafeterias_Within_5_km,distance_to_Restaurants,restaurants_Within_1_km,restaurants_Within_3_km,restaurants_Within_5_km,hotels_Within_5_km,hotels_Within_10_5km,hotels_Within_20km,Distance_to_main_road_entrance,Distance_to_train_station,Distance_to_important_transfer_station
TheWittenbuurtSouth,BU03631401,585,220,95,20,185,245,75,10,45,10,105,24.9,10,7,7,1052,27.90,450.50,672.30,0.30,36.30,541.50,895.60,0.10,97.20,974.70,1703.00,376.20,435.90,522.70,2.50,2.10,2.10
StaatsliedenbuurtNortheast,BU03631402,715,285,170,70,225,430,110,5,105,35,170,24,5,6,9,1051,21.60,408.40,671.00,0.10,31.40,501.10,890.70,0.10,80.10,892.70,1673.00,376.40,436.30,521.70,2.30,2.00,2.00
FanniusScholtenbuurt,BU03631403,2865,560,260,40,855,950,240,35,205,100,375,28.3,2,2,4,1051,16.00,410.10,663.50,0.20,20.00,500.70,868.20,0.10,53.10,892.90,1642.00,371.00,434.90,522.50,2.10,2.30,2.30
Westernstatesman,BU03631404,2275,425,180,15,705,690,185,25,95,30,360,29.1,2,1,7,1051,16.50,405.50,656.90,0.20,15.40,500.40,860.50,0.10,42.90,897.30,1642.00,368.60,435.50,523.40,2.00,2.60,2.60
Buyskadeandsurroundingareas,BU03631405,2180,700,220,40,655,700,200,35,120,55,290,33.2,3,2,5,1051,22.70,456.30,661.60,0.20,16.30,550.00,879.20,0.10,53.80,991.90,1696.00,372.20,436.10,524.10,2.30,2.50,2.50
CentralMarket,WK036315,1570,585,215,60,470,640,210,20,100,45,255,30.9,2,4,9,.,15.50,393.40,649.00,0.30,17.70,487.80,861.70,0.30,34.60,889.40,1641.00,370.00,438.00,522.80,1.90,2.80,2.80
Ecowijk,BU03631500,885,320,120,25,260,300,105,10,45,15,125,31.8,2,1,0,1051,12.00,311.80,639.20,0.30,13.40,414.80,832.20,0.30,33.30,732.10,1580.00,365.60,435.30,522.40,1.90,2.70,2.70
Markethalls,BU03631501,0,5,0,0,0,0,0,0,0,0,0,.,.,.,.,1051,26.70,489.40,668.00,0.20,31.50,588.60,903.10,0.10,53.80,1095.00,1725.00,376.40,440.20,524.60,1.90,2.70,2.70
Westerkwartierbusinesscenter,BU03631502,35,20,5,0,5,5,0,0,0,0,5,.,15,77,31,1051,4.10,201.60,610.80,0.90,4.90,268.50,793.40,0.90,9.40,496.30,1496.00,345.70,434.90,521.70,1.70,3.00,3.00
Marcanti,BU03631503,645,235,90,35,205,335,105,15,55,35,125,30,2,4,6,1051,20.30,505.30,663.40,0.20,23.60,590.60,901.90,0.20,37.50,1106.00,1724.00,377.00,441.40,523.40,1.90,2.80,2.80
FrederikHendrikbuurt,WK036316,5970,1580,695,200,1880,1810,500,75,240,155,840,29.8,4,5,5,.,50.30,537.00,685.40,0.20,52.00,643.70,934.90,0.10,121.60,1222.00,1802.00,383.60,439.70,524.10,2.40,2.30,2.30
FrederikHendrikbuurtNoord,BU03631600,2770,740,315,70,935,755,210,30,85,65,365,28.9,4,5,5,1052,47.60,521.10,683.80,0.20,43.60,618.70,924.60,0.20,116.90,1156.00,1785.00,381.70,437.80,524.00,2.50,2.20,2.20
FrederikHendrikbuurtZuidoost,BU03631601,2455,540,255,45,715,800,190,40,115,70,385,29.2,5,3,6,1052,56.50,555.60,689.30,0.10,64.60,673.20,949.40,0.10,137.00,1296.00,1827.00,386.20,441.80,524.10,2.30,2.30,2.30
FrederikHendrikbuurtSouthwest,BU03631602,745,295,125,85,230,255,95,5,40,25,95,34.5,2,10,4,1052,41.30,536.80,679.60,0.20,44.10,643.00,928.20,0.20,92.80,1230.00,1789.00,382.50,440.00,524.30,2.20,2.50,2.50
DaCostaneighborhood,WK036317,3360,910,340,95,1200,735,130,60,140,60,355,32.1,8,4,5,.,69.00,590.00,690.70,0.10,82.30,737.30,980.20,0.10,193.90,1411.00,1846.00,389.90,443.30,522.30,2.40,2.40,2.40
DaCostabuurtNoord,BU03631700,3360,915,335,95,1200,735,125,55,140,60,350,32.1,8,4,5,1053,69.00,590.00,690.70,0.10,82.30,737.30,980.20,0.10,193.90,1411.00,1846.00,389.90,443.30,522.30,2.40,2.40,2.40
Kinkerbuurt,WK036318,5030,990,490,80,1415,1555,440,70,280,195,570,29.3,5,5,6,.,51.00,542.20,674.70,0.10,70.20,678.40,949.40,0.10,155.80,1315.00,1797.00,384.10,442.00,520.60,2.10,2.80,2.90
BellamybuurtNoord,BU03631800,2125,440,225,35,525,735,235,35,145,75,250,29.2,3,6,4,1053,56.50,563.80,674.70,0.10,77.70,697.40,946.80,0.10,158.00,1348.00,1793.00,383.50,443.70,521.70,2.00,2.80,2.80
BellamybuurtZuid,BU03631801,2905,545,265,40,895,820,205,40,135,120,320,29.4,6,5,8,1053,47.30,527.30,674.80,0.10,65.00,665.30,951.20,0.10,154.30,1293.00,1800.00,384.50,440.80,519.90,2.20,2.80,3.00
VanLennepbuurt,WK036319,4910,1265,635,180,1470,2090,615,60,405,230,785,27.2,6,6,6,.,54.70,520.40,681.80,0.20,67.90,666.00,972.40,0.10,179.10,1297.00,1827.00,388.50,442.20,520.40,2.30,2.60,3.00
DaCostabuurtZuid,BU03631900,1755,320,125,25,605,385,70,15,65,30,210,31.2,7,5,4,1053,80.30,602.90,693.80,0.10,90.20,757.60,998.40,0.10,244.20,1463.00,1870.00,394.20,445.30,521.30,2.70,2.50,2.50
Borgerbuurt,BU03631901,1755,660,345,130,450,1210,415,25,255,150,365,23.4,6,6,9,1053,42.70,547.00,682.10,0.10,62.60,691.40,967.50,0.10,166.40,1337.00,1826.00,387.70,441.40,519.70,2.20,2.80,3.00
Lootsbuurt,BU03631902,1405,280,160,30,420,500,125,20,80,50,210,27.7,4,7,5,1053,42.50,381.70,667.00,0.20,49.60,517.90,948.70,0.10,120.90,1039.00,1780.00,382.80,439.70,520.60,1.80,2.50,3.50
Helmersbuurt,WK036320,5310,1465,525,105,1865,990,100,75,185,75,560,34.8,7,3,5,.,52.10,525.50,692.50,0.20,63.70,673.20,992.60,0.10,192.50,1339.00,1863.00,392.70,443.40,519.40,2.20,2.60,3.00
HelmersbuurtEast,BU03632000,1870,585,140,20,705,280,20,25,40,20,180,38.7,6,2,4,1054,83.00,607.90,698.70,0.20,88.50,758.20,1005.00,0.10,259.50,1505.00,1886.00,396.00,444.80,519.70,2.60,2.60,2.60
WGsite,BU03632001,1700,510,245,55,565,420,60,25,105,40,190,31.2,9,6,9,1054,38.50,523.50,691.20,0.30,52.50,664.90,989.40,0.10,165.30,1321.00,1860.00,391.50,443.70,518.30,2.20,2.80,3.20
CremerbuurtEast,BU03632002,1740,370,140,25,595,295,25,25,40,20,185,34.5,5,0,1,1054,31.70,434.00,686.70,0.10,47.80,585.90,982.60,0.10,145.90,1171.00,1841.00,390.40,441.50,520.20,1.80,2.50,3.40
OvertoomseSluis,WK036321,5835,1410,525,115,2060,1065,120,65,165,100,615,34.3,3,2,3,.,27.20,312.30,672.80,0.20,28.90,441.30,969.70,0.10,100.30,903.60,1814.00,386.80,440.40,520.00,1.40,2.00,3.30
CremerbuurtWest,BU03632100,4270,970,375,65,1525,795,110,45,105,85,455,33.7,3,2,3,1054,28.10,325.20,673.20,0.20,31.80,458.20,969.20,0.10,103.00,930.80,1814.00,386.90,440.20,520.00,1.40,2.10,3.40
VondelparkneighborhoodWest,BU03632101,1570,440,145,50,535,265,15,15,60,15,160,36.1,4,1,5,1054,24.70,279.20,671.90,0.20,21.40,398.00,970.90,0.10,93.40,834.10,1813.00,386.40,441.10,520.00,1.20,1.90,3.10
Vondelbuurt,WK036322,1185,455,155,75,540,270,45,15,45,15,150,50,3,18,11,.,49.30,551.10,696.50,0.20,53.10,697.70,1001.00,0.10,183.90,1392.00,1884.00,393.80,444.20,518.80,2.20,2.70,3.10
VondelparkneighborhoodEast,BU03632200,615,235,65,25,315,125,15,5,20,5,85,52.5,4,25,19,1054,70.60,608.30,700.60,0.20,71.90,756.50,1005.00,0.10,232.70,1513.00,1901.00,395.10,444.00,519.30,2.50,2.80,2.80
VondelparkbuurtMidden,BU03632201,575,215,85,50,225,145,30,10,30,10,70,47.4,2,11,2,1054,29.60,498.20,692.80,0.20,35.60,643.10,997.60,0.10,138.60,1279.00,1867.00,392.60,444.30,518.30,2.00,2.70,3.30
Zuidas,WK036323,2740,850,105,5,1015,1360,55,40,95,85,1080,41.3,3,9,17,.,1.20,46.00,376.60,0.10,16.80,140.60,582.50,0.20,20.30,304.80,1229.00,248.60,443.70,505.50,1.00,0.90,1.10
ZuidasNoord,BU03632300,330,110,10,0,115,160,0,5,0,10,140,41.9,.,13,47,1077,2.50,60.80,423.20,0.00,12.70,152.80,642.90,0.50,16.60,353.70,1310.00,263.70,442.60,513.40,0.80,1.00,1.00
RAI,BU03632301,0,0,0,0,0,0,0,0,0,0,0,.,,,,1078,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
VUquarter,BU03632302,120,35,0,0,40,75,0,0,0,10,60,.,13,52,142,1081,0.20,23.10,249.80,0.30,7.70,93.00,438.10,0.30,7.70,189.50,951.60,167.10,439.10,514.50,0.60,1.80,1.80
ZuidasSouth,BU03632303,1415,610,80,10,630,835,45,20,55,40,670,58.6,3,4,4,1082,1.40,43.50,376.90,0.10,23.10,138.10,584.40,0.00,25.50,308.90,1231.00,246.50,443.80,505.10,1.30,0.90,0.90
Vivaldi,BU03632304,885,85,15,0,230,290,10,15,30,30,200,17,1,3,4,1083,0.00,47.50,368.30,0.10,4.70,146.40,565.90,0.60,11.20,284.90,1218.00,256.10,444.40,501.50,0.60,0.70,1.30
OldPipe,WK036324,11240,2425,970,185,3795,2765,400,130,470,245,1520,30.9,4,4,10,.,57.60,508.40,692.00,0.10,99.50,674.20,987.80,0.10,207.70,1345.00,1875.00,387.40,445.10,511.10,2.30,2.20,2.70
Hemonybuurt,BU03632400,1915,490,145,25,630,375,45,25,65,25,215,32.8,8,4,4,1074,50.40,477.30,682.40,0.10,84.10,639.10,962.70,0.10,174.40,1238.00,1841.00,382.10,443.00,506.70,2.70,2.00,2.90
GerardDoubuurt,BU03632401,1455,345,160,30,535,455,110,20,60,35,235,29.7,3,4,13,1073,62.00,532.30,695.00,0.10,103.80,701.80,997.80,0.10,213.40,1400.00,1885.00,388.10,445.80,513.20,2.30,2.40,2.80
FransHalsbuurt,BU03632402,1980,420,175,35,735,450,50,25,60,45,275,36.5,6,6,8,1072,65.40,547.60,696.00,0.10,108.80,708.10,1003.00,0.00,238.50,1450.00,1893.00,390.00,445.20,514.50,2.30,2.40,2.60
HerculesSeghersbuurt,BU03632403,2000,385,165,30,600,600,105,30,105,75,290,26.8,3,5,10,1072,49.80,500.10,695.00,0.10,95.40,667.30,999.40,0.10,193.90,1350.00,1889.00,389.30,446.00,512.90,2.00,2.10,2.30
Sarphatiparkneighborhood,BU03632404,3885,785,325,65,1290,885,90,35,175,70,505,29.9,3,4,12,1073,59.70,499.10,692.10,0.10,103.20,667.40,982.80,0.00,213.70,1320.00,1871.00,387.30,445.40,509.90,2.20,2.20,2.70
NewPipe,WK036325,9010,2060,950,310,2810,2575,570,110,535,240,1115,30.3,3,3,8,.,44.50,398.60,680.50,0.10,78.40,549.80,961.20,0.10,166.00,1104.00,1839.00,384.40,444.80,506.10,2.00,1.80,2.60
Willibrordusbuurt,BU03632500,1765,430,225,100,535,555,140,30,115,45,230,27,5,3,11,1074,38.50,423.70,671.00,0.10,55.80,556.20,948.50,0.10,123.20,1104.00,1819.00,378.20,443.00,504.70,2.40,1.70,3.20
VanderHelstpleinneighborhood,BU03632501,2920,630,285,45,945,755,115,30,165,80,370,33.8,3,3,5,1073,48.80,392.60,675.20,0.10,77.20,529.90,953.60,0.10,162.40,1068.00,1827.00,381.90,444.20,504.50,2.10,2.00,2.90
LizzyAnsinghbuurt,BU03632502,1760,375,195,85,540,620,175,30,135,45,240,28.1,3,5,6,1072,52.50,394.30,685.30,0.10,100.00,558.50,964.50,0.10,207.90,1115.00,1849.00,386.00,446.20,506.00,1.70,1.80,2.40
CornelisTroostbuurt,BU03632503,2570,620,240,80,795,650,145,30,125,70,280,30.2,3,3,13,1072,38.80,389.00,690.50,0.10,82.50,561.40,977.00,0.10,174.20,1139.00,1859.00,390.60,445.80,508.90,1.70,1.80,2.10
SouthPipe,WK036326,5445,1620,925,210,1510,2800,810,90,590,320,985,24.6,2,4,6,.,32.00,304.70,655.50,0.30,48.40,421.70,929.80,0.20,104.70,891.00,1793.00,378.70,443.70,502.40,2.00,1.60,3.00
Diamantbuurt,BU03632600,2100,630,315,85,580,1125,345,40,225,115,405,24.5,2,3,7,1074,24.40,308.90,648.20,0.20,35.30,420.50,919.00,0.20,78.20,879.50,1780.00,376.00,442.90,502.70,2.20,1.30,3.30
MayorTellegenbuurtEast,BU03632601,1880,570,305,65,505,945,285,30,205,115,315,25.3,2,4,4,1073,33.90,313.50,654.80,0.20,48.70,430.20,931.40,0.20,106.30,900.30,1793.00,379.10,443.20,502.30,2.00,1.70,3.00
MayorofTellegenbuurtWest,BU03632602,1460,425,305,65,420,725,180,20,165,90,270,23.9,1,4,7,1073,40.00,287.90,666.40,0.30,66.00,412.60,942.50,0.20,138.90,895.20,1809.00,381.80,445.40,502.00,1.70,1.80,2.60
Weesperzijde,WK036327,4065,1085,325,75,1385,1050,210,40,190,95,515,36.5,5,5,7,.,20.30,389.10,639.70,0.20,36.10,518.60,920.60,0.10,73.40,988.80,1779.00,374.30,442.10,504.20,2.80,1.30,3.10
Swammerdambuurt,BU03632700,1450,395,105,25,475,260,40,10,50,15,140,38.9,5,7,5,1091,31.70,453.60,664.90,0.20,47.30,616.30,945.00,0.10,98.90,1142.00,1827.00,378.00,442.40,504.90,3.10,1.60,2.80
WeesperzijdeCentral/South,BU03632701,2110,675,210,45,635,615,140,30,130,65,255,37.1,5,4,9,1091,14.10,352.00,627.70,0.20,30.80,465.70,909.40,0.10,60.30,905.10,1756.00,372.60,441.90,504.00,2.70,1.10,3.30
Parooltriangle,BU03632702,500,15,5,0,275,180,30,5,10,15,125,14.7,2,4,6,1091,16.60,378.40,621.80,0.30,27.50,483.90,900.90,0.20,60.70,938.10,1745.00,371.40,441.90,503.50,2.80,1.20,3.20
Oosterparkbuurt,WK036328,7555,2165,950,220,1955,3745,1080,100,845,515,1215,27.4,6,6,9,.,21.00,368.60,623.10,0.20,36.80,487.20,876.50,0.10,72.70,913.60,1717.00,370.00,440.60,501.90,3.20,1.20,3.10
OosterparkbuurtNorthwest,BU03632800,2785,730,330,75,745,1260,305,40,270,165,470,26.8,6,7,10,1091,21.40,449.70,650.90,0.10,34.10,599.40,920.40,0.10,68.90,1095.00,1801.00,375.40,441.20,503.60,3.40,1.50,2.80
Oosterpark,BU03632801,105,5,15,0,25,25,0,0,15,0,10,19.2,0,32,144,1092,24.50,425.50,633.40,0.50,35.90,556.10,879.40,0.40,73.70,999.80,1751.00,372.30,440.00,502.20,3.70,1.30,2.90
OosterparkbuurtZuidoost,BU03632802,2560,820,295,90,730,1050,350,20,230,125,320,29.7,4,3,5,1092,22.00,269.30,595.50,0.20,43.90,365.00,829.20,0.20,80.40,696.00,1618.00,364.40,439.40,499.30,3.10,0.80,3.50
OosterparkbuurtSouthwest,BU03632803,2110,605,310,55,465,1415,425,35,330,220,410,26.1,7,7,8,1091,19.30,389.80,623.10,0.10,31.60,498.60,881.30,0.10,68.00,957.40,1738.00,370.40,441.30,503.00,3.10,1.20,3.20
Dapperbuurt,WK036329,6680,2135,945,305,1575,3760,1120,115,785,655,1090,26.2,4,5,11,.,22.60,226.50,574.30,0.20,40.70,303.30,786.60,0.10,70.20,560.50,1527.00,356.80,438.20,495.20,3.30,0.60,3.20
DapperbuurtNoord,BU03632900,2895,900,410,150,715,1705,500,45,350,335,475,25.4,5,5,10,1093,25.80,291.90,594.10,0.20,40.70,370.10,811.90,0.10,67.90,674.20,1596.00,360.30,438.30,495.80,3.50,0.70,2.90
DapperbuurtZuid,BU03632901,2630,755,360,75,580,1480,475,40,290,255,415,24.8,4,3,7,1093,25.90,225.50,577.30,0.10,47.90,302.50,790.70,0.10,82.70,572.20,1539.00,358.80,438.70,495.60,3.20,0.40,3.30
EastGate,BU03632902,1155,485,175,75,285,575,140,25,145,60,205,31.6,2,8,24,1093,10.20,95.80,528.80,0.20,27.80,169.60,727.80,0.20,52.20,309.00,1367.00,345.90,437.10,493.40,2.90,0.60,3.80
Transvaalbuurt,WK036330,6325,1955,840,220,1370,4115,1595,110,770,640,995,24.8,3,4,7,.,13.30,192.00,573.10,0.20,28.90,293.10,825.20,0.10,55.90,562.60,1556.00,361.60,440.10,499.20,2.70,1.00,3.80
TransvaalbuurtWest,BU03633000,2765,850,420,110,600,1845,700,35,375,280,450,24.7,3,5,8,1091,11.50,208.60,581.00,0.20,27.40,314.80,853.40,0.20,48.00,615.00,1602.00,363.90,441.00,500.90,2.60,1.00,3.80
TransvaalbuurtOost,BU03633001,3565,1105,420,115,770,2275,895,75,390,365,545,24.9,3,3,7,1092,14.70,178.60,566.50,0.10,30.20,275.40,802.20,0.10,62.40,520.00,1518.00,359.80,439.50,497.80,2.70,1.00,3.80
IndischeBuurtWest,WK036331,8660,2720,1030,235,2100,5730,2260,140,950,965,1415,25.5,5,5,5,.,21.40,102.50,537.60,0.20,36.50,169.40,733.90,0.20,52.10,312.90,1389.00,341.20,436.40,491.10,3.20,0.70,3.50
NorthwestquadrantIndianneighborhoodNorth,BU03633100,2730,725,265,45,795,1210,420,35,215,165,375,27.6,5,5,6,1094,24.10,130.60,553.00,0.20,38.90,187.70,750.90,0.10,59.10,359.20,1437.00,346.00,436.40,490.50,3.30,0.90,3.20
NorthwestquadrantIndianneighborhoodSouth,BU03633101,3440,870,335,75,830,1890,705,60,310,305,505,26,3,3,4,1094,23.60,104.20,543.60,0.10,39.00,174.40,744.60,0.10,56.50,322.20,1415.00,347.20,436.80,491.70,3.40,0.60,3.40
SouthwestquadrantIndianneighborhood,BU03633102,2490,1125,435,110,480,2630,1135,40,430,495,540,22.6,6,5,5,1094,16.50,74.40,516.40,0.30,31.40,146.70,705.90,0.20,40.40,259.20,1316.00,330.00,435.80,490.90,3.10,0.80,3.80
IndischeBuurtOost,WK036332,6385,2560,945,320,1335,5355,2060,120,890,1050,1235,24,6,5,6,.,12.50,63.10,498.40,0.30,22.10,126.80,674.20,0.30,26.60,221.70,1234.00,292.20,434.70,486.70,2.80,1.30,3.90
NortheastquadrantIndianneighborhood,BU03633200,3790,1450,595,225,785,3130,1130,70,570,585,775,23.2,4,4,7,1095,13.30,64.10,510.20,0.30,23.60,127.20,686.60,0.30,28.90,223.10,1260.00,301.90,434.80,485.90,2.80,1.30,3.80
SoutheastquadrantIndianneighborhood,BU03633201,2300,970,325,85,470,2105,895,45,290,450,430,23.9,7,5,6,1095,12.30,62.80,486.10,0.30,21.40,129.30,663.40,0.30,25.40,224.60,1213.00,282.90,434.90,488.10,2.90,1.10,4.00
ZeeburgerdijkEast,BU03633202,290,130,30,10,75,115,40,5,30,20,25,37.2,11,9,0,1095,4.80,53.10,452.00,0.50,8.10,103.90,610.70,0.60,7.10,182.20,1081.00,244.50,431.40,485.50,2.40,1.80,4.10
Flevopark,BU03633203,10,5,0,0,5,0,0,0,0,0,0,.,.,.,.,1095,0.40,38.50,288.10,0.50,0.90,83.40,363.10,1.10,0.10,135.90,672.20,152.80,430.30,482.50,3.00,2.10,4.80
EasternDocklands,WK036333,11835,4905,1500,305,3510,4025,805,170,985,415,1645,37.3,8,4,4,.,2.90,95.50,494.30,0.40,7.40,137.30,652.20,0.30,10.80,230.60,1179.00,272.70,428.50,484.00,3.70,2.20,3.30
EasternHandelskade,BU03633300,955,385,115,10,385,435,90,15,75,35,225,48.5,23,12,5,1019,3.00,294.50,595.90,0.20,5.50,354.00,790.50,0.20,9.40,572.00,1512.00,337.60,431.50,489.90,3.60,2.10,2.10
Reedlands,BU03633301,1610,640,185,50,475,695,150,20,175,80,275,37.1,3,4,5,1019,4.50,118.30,544.10,0.30,10.20,165.80,709.00,0.20,14.20,286.70,1314.00,299.70,431.40,486.30,3.30,2.00,2.90
JavaIsland,BU03633302,1955,865,245,70,570,435,60,30,95,50,200,39.2,8,2,2,1019,0.20,157.20,540.10,0.30,5.20,187.40,699.10,0.20,7.20,303.20,1296.00,293.60,424.00,484.70,4.30,2.60,2.70
KNSMIsland,BU03633303,1420,695,230,50,460,415,50,20,135,40,170,36.8,4,3,3,1019,0.30,33.00,391.40,0.20,5.30,61.00,510.00,0.20,6.70,95.90,866.70,218.70,420.70,479.10,4.30,2.90,3.70
Sporenburg,BU03633304,1705,770,145,20,490,360,35,30,105,40,150,40,3,2,3,1019,1.90,44.30,458.90,0.40,7.40,81.80,615.80,0.40,10.70,140.70,1074.00,244.00,428.00,482.40,3.80,2.30,3.50
Borneo,BU03633305,1965,695,190,25,470,515,160,30,105,25,190,37,7,1,2,1019,1.90,46.80,456.10,0.70,5.10,87.00,609.90,0.20,8.10,151.20,1072.00,245.80,429.50,482.20,3.70,2.20,3.70
Entrepot-Northwest,BU03633306,895,365,170,35,275,540,135,25,140,40,195,30.8,13,5,10,1019,10.10,85.30,545.10,0.50,15.70,146.80,720.70,0.20,23.70,260.10,1343.00,324.10,435.00,486.90,3.20,1.50,3.20
Architectenbuurt,BU03633307,1115,425,205,30,330,560,135,10,150,90,180,31.4,8,4,5,1019,6.00,58.40,503.50,0.30,8.60,110.10,669.30,0.40,13.70,195.10,1204.00,277.40,433.90,484.70,2.90,1.80,3.70
Veelaanbusinessarea,BU03633308,25,10,5,0,5,0,0,0,0,0,5,.,.,.,.,1019,9.20,91.90,546.10,0.80,12.30,149.00,724.60,0.10,21.30,268.40,1353.00,330.90,435.00,486.40,3.40,1.40,3.30
Cruquiuswegbusinessarea,BU03633309,90,15,5,0,20,50,0,0,0,0,40,.,18,27,45,1019,1.00,40.20,386.20,0.50,2.40,77.50,523.60,0.30,2.60,129.70,905.80,213.80,429.10,482.40,3.00,2.20,4.20
Zeeburgerkadebusinessarea,BU03633310,90,45,10,0,35,10,0,0,5,0,10,.,27,20,27,1019,15.00,99.10,525.50,0.40,23.80,151.30,708.00,0.30,34.10,276.50,1314.00,311.80,434.40,487.20,2.90,1.40,3.50
Zeeburgereiland/NieuweDiep,WK036334,2560,415,150,20,735,815,100,45,160,65,450,21.6,6,4,8,.,0.00,6.60,68.40,0.90,0.50,16.10,137.80,0.60,1.70,24.70,251.10,33.60,410.20,483.40,1.00,3.70,5.40
ZeeburgereilandNorthwest,BU03633400,15,5,0,0,5,0,0,0,0,0,0,.,.,.,.,1095,0.00,1.10,43.60,1.30,0.30,2.30,95.00,0.70,0.80,6.40,166.60,15.90,394.30,478.30,1.80,4.20,5.90
ZeeburgereilandSouthEast,BU03633402,490,5,0,0,140,130,15,20,20,5,75,9.7,2,2,12,1095,0.00,17.00,92.90,0.10,1.00,35.00,175.30,0.80,1.70,49.80,330.30,56.90,420.70,484.00,1.00,3.10,5.10
ZeeburgereilandSouthwest,BU03633403,290,15,10,0,50,25,0,5,5,0,15,9.3,0,0,4,1095,0.00,15.90,89.90,0.30,1.00,31.80,168.70,0.60,2.00,43.10,321.50,53.30,417.20,483.20,1.10,3.20,5.20
NieuweDiep/Diemerpark,BU03633404,45,15,5,5,5,5,5,0,0,0,5,.,29,0,86,1095,0.00,0.00,20.80,1.80,0.20,1.80,48.90,0.60,1.20,4.40,81.50,6.90,320.90,474.70,2.60,4.90,7.50
RIEastsite,BU03633405,1720,365,130,10,540,655,85,25,135,55,360,26.6,7,5,5,1095,0.00,4.70,64.60,1.10,0.40,12.90,132.50,0.60,1.70,20.60,239.30,29.80,410.00,483.60,0.90,3.80,5.40
ZeeburgereilandNortheast,BU03633406,0,0,0,0,0,0,0,0,0,0,0,.,,,,1095,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
IJburgWest,WK036335,9490,4195,1000,140,2350,5070,1345,205,1340,435,1745,36.8,6,3,6,.,0.00,0.00,7.90,0.40,3.90,8.40,23.90,0.30,10.90,23.30,45.60,2.10,352.90,478.80,1.70,5.80,7.50
JettyIslandNorth,BU03633500,955,345,125,10,230,550,180,10,170,50,145,35.7,6,3,3,1086,0.00,0.00,22.20,0.80,2.30,9.00,47.70,0.50,3.50,23.70,80.60,3.80,385.70,480.20,1.00,5.20,6.90
ScaffoldingIslandSouth,BU03633501,1775,730,150,15,350,820,205,45,205,65,300,37.5,3,3,8,1086,0.00,0.00,26.10,0.40,2.00,9.00,55.80,0.40,3.30,23.60,89.00,4.10,387.90,480.10,0.90,5.00,6.70
HaveneilandZuidwest/RieteilandWest,BU03633502,1735,920,145,25,450,565,75,30,185,50,230,48.2,8,3,2,1087,0.00,0.00,1.30,0.30,4.40,8.10,11.90,0.30,12.30,22.90,29.20,1.30,337.40,478.00,2.00,6.10,7.80
HaveneilandNorthwest,BU03633504,1575,685,215,35,480,880,220,50,195,80,340,33.6,5,5,10,1087,0.00,0.00,5.10,0.30,3.30,8.60,20.10,0.20,11.00,23.30,37.90,2.30,373.40,479.00,1.60,5.70,7.40
HaveneilandNortheast,BU03633505,3450,1515,370,50,840,2250,670,65,590,195,730,33.1,6,3,7,1087,0.00,0.00,0.20,0.30,5.30,8.00,10.50,0.30,15.70,23.20,27.80,1.10,325.40,478.20,2.20,6.30,8.00
Sloterdijk,WK036336,380,90,35,5,120,75,10,0,20,5,35,38.8,26,285,46,.,4.10,102.40,519.60,0.50,14.50,158.10,671.70,0.40,12.60,234.20,1232.00,273.40,438.00,522.80,0.40,1.50,1.50
Sloterdijkresidentialandgreenarea,BU03633600,310,85,25,0,95,40,0,0,5,0,25,42.9,14,17,2,1014,5.00,117.30,548.30,0.50,16.50,177.20,705.80,0.20,14.90,264.50,1310.00,295.50,439.50,523.00,0.30,1.40,1.40
SloterdijkIbusinesspark,BU03633601,70,0,15,0,20,35,5,5,10,5,10,.,82,1612,259,1014,0.00,25.90,372.40,0.40,4.40,60.30,497.00,1.10,0.50,78.70,827.40,160.00,430.20,521.30,0.70,1.60,1.60
Landlust,WK036337,12675,4115,1415,355,2950,8140,3300,185,870,1820,1960,25.3,3,5,7,.,14.30,201.80,614.10,0.20,27.60,282.70,813.60,0.20,30.10,512.30,1527.00,341.20,441.20,521.10,0.90,2.30,2.30
Landlustindustrialestate,BU03633700,395,75,25,5,120,125,20,5,15,20,65,30.5,2,6,8,1055,8.40,200.50,615.80,0.20,17.30,268.50,808.40,0.30,21.40,499.50,1524.00,342.60,439.20,523.30,1.10,2.30,2.30
Forestlion,BU03633702,3740,1500,375,120,880,3085,1250,35,245,985,570,23.6,2,4,8,1055,9.10,138.70,589.70,0.20,23.00,205.50,775.70,0.20,25.60,337.30,1448.00,319.60,441.80,520.20,0.50,2.00,2.00
LandlustSouth,BU03633703,2660,760,315,85,595,1350,585,40,170,215,350,27.1,3,6,6,1056,25.80,311.60,647.70,0.20,37.00,415.80,868.30,0.20,42.20,783.50,1643.00,368.20,441.60,521.80,1.30,2.70,2.70
ErasmusParkneighborhoodEast,BU03633704,1375,440,120,30,370,650,270,15,80,110,175,28.7,2,3,6,1056,24.00,237.80,638.30,0.20,36.80,327.40,854.80,0.30,40.50,622.90,1603.00,362.30,441.80,521.20,1.10,2.60,2.60
