zipcode,near_ATTRAC,near_museum,near_Performing_arts
1433,4.3,4.6,4.8
1435,5.7,4.7,4.3
1436,4.5,2.6,2.1
1437,4.9,2.9,2.5
1438,6.3,6.0,6.3
1441,4.3,1.9,1.4
1442,4.6,1.5,1.2
1443,4.3,2.4,1.7
1444,4.4,2.7,2.4
1445,1.6,3.5,2.5
1446,0.6,4.5,3.7
1447,3.5,3.6,2.7
1448,5.8,2.9,3.0
1451,7.4,5.0,4.8
1452,6.7,6.1,6.0
1454,9.0,6.3,5.3
1456,7.2,3.2,4.0
1458,11.1,8.0,9.0
1461,5.9,1.6,2.2
1462,9.0,0.9,7.2
1463,11.4,4.9,10.6
1464,12.1,3.3,10.1
1471,3.3,4.4,4.3
1472,4.9,4.2,6.8
1473,10.1,7.0,11.4
1474,9.6,8.1,9.2
1475,11.4,8.2,9.4
1476,9.3,7.9,7.2
1477,5.9,5.4,6.1
1481,4.0,3.1,6.2
1482,4.9,4.4,5.3
1483,12.9,1.0,11.6
1484,11.8,1.5,12.6
1485,12.7,2.9,13.5
1486,9.5,4.4,11.4
1487,11.1,4.2,11.2
1488,10.4,7.7,11.8
1489,9.7,6.8,11.6
1501,3.3,1.1,0.7
1502,2.5,1.3,0.9
1503,3.5,2.3,1.9
1504,4.7,2.7,2.3
1505,4.1,1.9,1.5
1506,2.1,1.2,1.3
1507,1.4,3.2,3.8
1508,1.5,2.3,3.0
1509,3.1,1.6,4.8
1511,7.0,5.1,4.7
1521,5.0,3.3,7.5
1525,8.1,6.3,10.5
1531,5.8,3.6,8.1
1534,7.9,6.1,10.4
1536,10.0,8.2,12.3
1541,2.2,1.7,4.7
1544,2.7,1.1,5.1
1546,9.2,6.6,7.6
1551,5.2,4.5,6.8
1561,7.0,5.4,7.5
1562,6.7,6.5,7.3
1566,8.1,6.7,7.4
1567,7.6,6.6,6.6
1601,1.6,0.7,18.3
1602,1.7,2.5,17.4
1606,9.7,8.4,12.2
1607,9.8,9.3,10.1
1608,9.1,8.7,9.3
1609,11.4,11.0,11.7
1611,4.9,3.9,15.2
1613,6.2,5.3,13.9
1614,7.0,6.1,12.8
1616,8.9,7.1,11.1
1617,7.4,8.4,7.9
1619,8.4,2.6,11.2
1621,1.9,0.4,0.8
1622,3.5,2.2,1.8
1623,1.4,1.2,1.5
1624,1.0,0.9,0.9
1625,2.1,2.0,2.0
1627,4.0,3.7,4.3
1628,3.7,3.6,3.7
1631,10.7,7.7,8.6
1633,9.3,7.4,8.0
1634,6.2,4.8,4.1
1636,8.8,1.3,10.2
1641,6.5,8.6,8.0
1642,6.8,8.0,7.2
1643,6.1,9.2,7.0
1645,5.2,4.3,7.0
1646,5.7,3.4,6.7
1647,5.6,4.4,4.5
1648,8.7,8.3,8.4
1652,6.8,7.5,4.5
1654,5.4,8.6,5.9
1655,6.2,9.3,6.1
1657,8.7,9.8,8.7
1658,6.7,7.7,7.4
1661,9.9,10.1,8.2
1662,10.2,11.4,7.4
1663,9.7,11.3,7.0
1671,1.2,1.2,1.0
1674,2.5,3.7,2.7
1676,4.5,5.7,4.7
1678,5.9,5.5,6.1
1679,6.9,7.4,7.1
1681,8.5,6.2,8.7
